Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
483,A.J. Hammons,MIA,350087,350087,,,,,,700174
53,Aaron Gordon,ORL,19863636,18136364,16409091,,,,,54409091
326,Aaron Holiday,IND,2239200,2345640,3980551,,,,1st Round Pick,4584840
391,Abdel Nader,OKC,1618520,1752950,,,,,,1618520
444,Admiral Schofield,WAS,898310,1517981,1782621,,,,MLE,4198912
24,Al Horford,PHI,28000000,27500000,27000000,26500000,,,,97000000
135,Al-Farouq Aminu,ORL,9258000,9720900,10183800,,,,MLE,29162700
320,Alec Burks,GSW,2320044,,,,,,Minimum Salary,2320044
453,Alen Smailagić,GSW,898310,1517981,1782621,1930681,,,MLE,2415891
280,Alex Caruso,LAL,2750000,2750000,,,,,,5500000
224,Alex Len,ATL,4160000,,,,,,Room Exception,4160000
469,Alfonzo McKinnie,CLE,708871,,,,,,,891985
426,Alize Johnson,IND,1416852,,,,,,Minimum Salary,1416852
62,Allen Crabbe,MIN,18500000,,,,,,Cap Space,18500000
243,Allonzo Trier,NYK,3551100,,,,,,Bi-Annual Exception,3551100
408,Amile Jefferson,ORL,1445697,1701593,,,,,Minimum Salary,1445697
360,Anderson Varejão,POR,1913345,1913345,,,,,,3826690
36,Andre Drummond,DET,27093019,28751775,,,,,Cap Space,27093019
69,Andre Iguodala,MEM,17185185,,,,,,Bird Rights,17185185
118,Andre Roberson,OKC,10740741,,,,,,Bird Rights,10740741
276,Andrew Nicholson,POR,2844429,2844429,2844429,2844429,2844429,,,14222145
30,Andrew Wiggins,MIN,27270000,29290000,31310000,33330000,,,1st Round Pick,121200000
332,Anfernee Simons,POR,2149560,2252040,3938818,,,,1st Round Pick,4401600
324,Ante Žižić,CLE,2281800,,,,,,1st Round Pick,2281800
35,Anthony Davis,LAL,27093019,28751775,,,,,1st Round Pick,27093019
291,Anthony Tolliver,SAC,2564753,,,,,,Minimum Salary,2564753
476,Anžejs Pasečņiks,WAS,482144,,,,,,Minimum Salary,482144
191,Aron Baynes,PHO,5453280,,,,,,,5453280
330,Austin Rivers,HOU,2174318,2369663,,,,,Minimum Salary,2174318
208,Avery Bradley,LAL,4767000,5005350,,,,,Room Exception,9772350
253,Bam Adebayo,MIA,3454080,5115492,,,,,1st Round Pick,8569572
345,Ben McLemore,HOU,2028594,2283034,,,,,,2028594
148,Ben Simmons,PHI,8113930,29250000,31590000,33930000,36270000,38610000,1st Round pick,177763930
72,Bismack Biyombo,CHO,17000000,,,,,,Cap Space,17000000
9,Blake Griffin,DET,34234964,36595996,38957028,,,,Bird Rights,70830960
247,Boban Marjanović,DAL,3500000,3500000,,,,,Bi-Annual Exception,7000000
85,Bobby Portis,NYK,15000000,15750000,,,,,,15000000
144,Bogdan Bogdanović,SAC,8529386,,,,,,Cap space,8529386
70,Bojan Bogdanović,UTA,17000000,17850000,18700000,19550000,,,,73100000
411,Brad Wanamaker,BOS,1445697,,,,,,Minimum Salary,1445697
34,Bradley Beal,WAS,27093019,28751775,34502130,37262300,,,Cap Space,90346924
309,Brandon Clarke,MEM,2478840,2602920,2726880,4343920,,,1st Round Pick,5081760
164,Brandon Ingram,NOP,7265485,,,,,,1st Round pick,7265485
77,Brandon Knight,CLE,15643750,,,,,,,15643750
108,Brook Lopez,MIL,12093024,12697675,13302325,13906976,,,,52000000
428,Bruce Brown,DET,1416852,1663861,,,,,MLE,1416852
