RANK,Player,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,FG%,"TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPG,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Steven Adams,Okc,C,26.55,45,26.7,55.7,17,14.2,143,0.58,334,0.599,1,0,0.597,0.607,10.7,9.2,19.1,2.6,14.7,0.67,1.11,1.47,9.5,123.9,101.9
,Bam Adebayo,Mia,C-F,22.55,50,34.7,72.2,19.8,17.3,260,0.688,519,0.59,11,0.091,0.58,0.616,15.9,10.5,16.9,4.9,22.1,1.22,1.14,2.7,10.8,119.2,101.7
,LaMarcus Aldridge,San,F-C,34.55,46,33,68.7,22.8,7.6,165,0.842,540,0.524,126,0.421,0.544,0.585,18.8,7.4,12,2.4,11.1,0.59,1.67,1.33,8.4,117.5,108.1
,Nickeil Alexander-Walker,Nor,G,21.43,39,12.7,26.4,22.9,13.8,28,0.607,108,0.343,117,0.342,0.431,0.445,5.4,2,8.3,1.9,20.8,0.28,0.18,0.97,8.6,91.6,107.6
,Grayson Allen,Mem,G,24.33,30,16.6,34.6,18,10.7,35,0.857,85,0.541,91,0.363,0.543,0.577,7.4,2.2,7.1,1.4,11.7,0.23,0.03,0.77,6.8,110.2,110
,Jarrett Allen,Bro,C,21.8,50,27,56.3,14.9,12,194,0.629,335,0.654,5,0,0.644,0.658,11.2,9.7,18.5,1.4,7.9,0.64,1.48,1.16,7.9,129.1,99.4
,Kadeem Allen,Nyk,G,27.06,10,11.7,24.4,20.6,14.1,11,0.636,28,0.5,16,0.313,0.489,0.512,5,0.9,4,2.1,27.5,0.5,0.2,0.8,7.2,105.4,111.7
,Al-Farouq Aminu,Orl,F,29.38,18,21.1,44,13.3,14.7,29,0.655,50,0.32,36,0.25,0.343,0.395,4.3,4.9,12.3,1.2,7.6,1,0.44,0.94,5.6,87.6,101.8
,Justin Anderson,Bro,F-G,26.21,3,5.6,11.7,17,0,2,0.5,3,0.333,3,0,0.167,0.218,1,0.7,6.1,0,0,0,0.33,0,0,50,101.4
,Kyle Anderson,Mem,F-G,26.38,45,17.4,36.3,13.6,15,52,0.635,154,0.552,39,0.205,0.503,0.526,5,3.9,12,2.2,15.9,0.73,0.51,0.84,8,109.5,105.5
,Ryan Anderson,Hou,F,31.75,2,7,14.6,23.4,12.5,0,0,2,0.5,5,0.2,0.357,0.357,2.5,3.5,25.9,1,20,0.5,0,0.5,11.8,78.6,94.2
,Giannis Antetokounmpo,Mil,F,25.17,46,30.7,64,37.9,12.9,480,0.608,695,0.63,226,0.319,0.593,0.611,30.1,13.2,21.2,5.8,33.8,1.13,1.07,3.65,17.2,116.6,89.8
,Kostas Antetokounmpo,Lal,F,22.21,3,1.7,3.5,0,,0,0,0,0,0,0,,,0,0.3,10.7,0.3,22,0,0,0,0,,
,Thanasis Antetokounmpo,Mil,F,27.55,15,4.1,8.5,21.6,15.6,9,0.444,20,0.65,3,0,0.565,0.556,2,0.5,5.7,0.4,14,0.13,0.07,0.33,7.2,107.2,93.9
,Carmelo Anthony,Por,F,35.69,35,32.3,67.3,22.1,10.4,96,0.844,353,0.445,133,0.361,0.471,0.51,15.4,6.5,10.3,1.5,6.9,0.89,0.51,1.74,6.6,101,106.8
,OG Anunoby,Tor,F,22.56,50,29,60.4,14.8,12.2,57,0.649,242,0.579,171,0.363,0.564,0.574,10.1,5.4,9.8,1.6,7.8,1.08,0.66,1.22,6.1,108.8,100.2
,Ryan Arcidiacono,Chi,G,25.87,48,14.6,30.5,12.3,11.9,28,0.714,62,0.387,103,0.398,0.518,0.539,4,1.6,6,1.5,14.6,0.38,0.06,0.5,5.8,111.2,103.4
,Trevor Ariza,Sac,F,34.6,32,24.7,51.5,11.3,13.7,27,0.778,43,0.488,122,0.352,0.518,0.543,6,4.6,10.4,1.6,8.5,1.09,0.25,0.88,5.7,107.6,105.5
,D.J. Augustin,Orl,G,32.24,39,26,54.1,18.8,12.4,130,0.877,190,0.426,136,0.346,0.465,0.544,10.7,2.4,5,4.7,27.3,0.67,0.03,1.38,7.6,114,108.6
,Deandre Ayton,Pho,C,21.54,21,33.1,68.9,23.7,9.3,52,0.788,328,0.534,1,0,0.532,0.556,18.6,12,19.9,2.1,10.6,0.67,1.62,1.71,9.4,111.8,102.9
,Dwayne Bacon,Cha,G-F,24.44,38,17.7,36.9,19.5,12,53,0.66,174,0.379,67,0.284,0.392,0.424,5.9,2.5,7.7,1.3,11.7,0.61,0.05,0.95,6,86.8,108.4
,Marvin Bagley III,Sac,F,20.9,13,25.7,53.5,25.9,9.1,31,0.806,145,0.51,22,0.182,0.479,0.512,14.2,7.5,16.4,0.8,5.1,0.46,0.92,1.38,6.8,102.1,100.2
,Lonzo Ball,Nor,G,22.28,43,31.7,66,19.1,19.7,52,0.558,205,0.434,281,0.359,0.495,0.501,11.9,6.2,10.2,6.6,28.5,1.3,0.42,2.91,9.9,101.7,109.2
,Mo Bamba,Orl,C,21.74,47,15,31.3,16.9,13.5,30,0.667,142,0.542,82,0.341,0.531,0.544,5.5,5.1,17.9,0.6,6.6,0.36,1.4,0.79,6.8,106.5,95.7
,J.J. Barea,Dal,G,35.61,16,15.5,32.2,25.1,13.8,10,1,73,0.452,48,0.458,0.545,0.566,8.9,1.9,6.5,3.6,36.4,0.19,0.06,1.25,10.2,116.8,111.7
,Harrison Barnes,Sac,F,27.69,50,34.8,72.5,17.7,8.5,203,0.793,376,0.492,181,0.348,0.502,0.557,14.4,4.8,7.8,2.1,9,0.58,0.16,1.2,6,113,113.8
,RJ Barrett,Nyk,F-G,19.64,41,31.2,65.1,23.3,12.8,184,0.603,391,0.417,143,0.329,0.437,0.47,14.1,5.3,8.9,2.5,12.1,1,0.39,2.2,7.3,93.3,109
,Will Barton,Den,G,29.08,48,33.3,69.3,19.9,9.1,115,0.765,390,0.485,228,0.382,0.517,0.544,15.1,6.5,10.7,3.7,16.4,1.1,0.5,1.4,8.6,113,105.2
,Keita Bates-Diop,Min,F,24.04,37,17.5,36.4,15.9,5.6,65,0.708,112,0.5,94,0.33,0.498,0.535,6.8,3,8.9,0.8,6.8,0.46,0.54,0.38,5.8,111.4,109.7
,Nicolas Batum,Cha,G-F,31.14,22,23,47.8,9.3,20.5,10,0.9,32,0.438,49,0.286,0.432,0.463,3.6,4.5,10.7,3,17.9,0.77,0.36,1,6.3,105.4,107.1
,Aron Baynes,Pho,C-F,33.16,33,22.9,47.7,20.5,10.7,61,0.721,173,0.601,126,0.333,0.559,0.58,11.5,5.8,14,1.9,12.5,0.18,0.58,1.18,8.8,113.5,98.7
,Kent Bazemore,Por,G-F,30.6,43,25.8,53.8,15.9,14.4,72,0.806,155,0.368,171,0.327,0.433,0.475,7.9,4,8,1.4,7.2,1.05,0.72,1.4,5.5,91.7,104.9
,Darius Bazley,Okc,F-G,19.65,51,17.5,36.4,14.2,13.9,45,0.689,127,0.441,100,0.3,0.445,0.472,4.6,3.8,12,0.6,4.4,0.37,0.69,0.78,5,89.7,104.9
,Bradley Beal,Was,G,26.61,42,35.6,74.1,33.2,11.4,339,0.847,581,0.528,331,0.326,0.514,0.577,29.2,4.5,6.9,6.3,29.2,1.02,0.38,3.24,10.6,114.1,115.5
,Malik Beasley,Den,G,23.19,41,18.2,37.9,20.4,10.2,38,0.868,140,0.421,161,0.36,0.485,0.511,7.9,1.9,5.7,1.2,9.2,0.76,0.15,0.88,5.8,99.7,105.7
,Marco Belinelli,San,G,33.87,44,15.3,31.8,17,5.3,41,0.78,107,0.402,126,0.365,0.481,0.51,5.8,1.7,5.9,1.3,11.7,0.18,0,0.32,6.1,106.8,112.4
,Jordan Bell,Min,F,25.08,27,8.7,18.1,16,19.8,29,0.586,51,0.588,9,0.222,0.55,0.57,3.1,2.9,17.6,0.5,8.8,0.07,0.37,0.67,7.6,107.3,106.9
,DeAndre' Bembry,Atl,G-F,25.59,43,21.3,44.4,14,19.4,48,0.542,163,0.546,65,0.231,0.489,0.5,5.8,3.5,8.9,1.9,12.4,1.28,0.44,1.4,6.3,94.5,107.3
,Dragan Bender,Mil,F,22.22,7,13,27,12.4,18.3,3,0.667,12,0.5,9,0.444,0.571,0.582,3.7,2.9,10.9,1.3,12.3,0,0.71,0.71,7.4,105,87.7
